,Наименование вакансии,Ссылка на вакансию,Минимальная з/п,Максимальная з/п,Валюта
0,Химик-разработчик,https://hhcdn.ru/click?b=228108&place=35,30000.0,,руб.
1,Химик-технолог / помощник технолога,https://hhcdn.ru/click?b=228357&place=36,,100000.0,руб.
2,Химик-лаборант,https://kazan.hh.ru/vacancy/46703578?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,100000.0,руб.
3,Химик-технолог пищевого производства,https://kazan.hh.ru/vacancy/46928800?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,54241.0,,руб.
4,Инженер химик-технолог,https://kazan.hh.ru/vacancy/46649700?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,150000.0,руб.
5,Аспирант-химик/Стажер,https://kazan.hh.ru/vacancy/47004598?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,100000.0,руб.
6,Химик-технолог бытовой химии,https://kazan.hh.ru/vacancy/46950598?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
7,Химик-технолог,https://kazan.hh.ru/vacancy/46814778?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,70000.0,руб.
8,Инженер-химик,https://kazan.hh.ru/vacancy/46910753?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,75000.0,,руб.
9,"Компании ""Hanafy colours pigments"" требуется Химик-технолог косметического производства",https://kazan.hh.ru/vacancy/46910708?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,,руб.
10,Инженер-химик,https://kazan.hh.ru/vacancy/46267050?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,80000.0,100000.0,руб.
11,Химик-технолог (начинающий специалист),https://kazan.hh.ru/vacancy/46924005?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,120000.0,руб.
12,"Инженер (пробоотборщик, химик, лаборант)",https://kazan.hh.ru/vacancy/46987426?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,70000.0,,руб.
13,Химик-эксперт/биолог СГЛ,https://kazan.hh.ru/vacancy/46949905?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,120000.0,,руб.
14,Химик-технолог,https://kazan.hh.ru/vacancy/47007210?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,80000.0,,руб.
15,"Инженер (промвентиляция), химик, лаборант",https://kazan.hh.ru/vacancy/46987489?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,80000.0,,руб.
16,Химик-технолог,https://kazan.hh.ru/vacancy/46941888?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,70000.0,,руб.
17,Технолог косметического производства/Химик - разработчик (БЬЮМАН СТРЭТЭДЖИ),https://kazan.hh.ru/vacancy/46709843?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,100000.0,,руб.
18,Химик,https://kazan.hh.ru/vacancy/46915970?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,80000.0,руб.
19,Ведущий химик-разработчик лакокрасочных материалов,https://kazan.hh.ru/vacancy/46612941?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,130000.0,,руб.
20,Химик-технолог,https://kazan.hh.ru/vacancy/40161918?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,,руб.
21,Инженер-химик,https://kazan.hh.ru/vacancy/46895257?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,28000.0,,руб.
22,Инженер-химик,https://kazan.hh.ru/vacancy/46996812?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,34400.0,,руб.
23,Инженер-химик,https://kazan.hh.ru/vacancy/46997659?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,,руб.
24,Химик-лаборант,https://kazan.hh.ru/vacancy/46558402?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,25000.0,,руб.
25,Старший технолог (лаборант),https://kazan.hh.ru/vacancy/46949356?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
26,Инженер-химик (ЛКМ),https://kazan.hh.ru/vacancy/46961098?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
27,Инженер-технолог,https://kazan.hh.ru/vacancy/46851142?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,70720.0,руб.
28,Химик-аналитик (Группа физико-химических методов),https://kazan.hh.ru/vacancy/46229659?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
29,Инженер-химик (нефтепродукты),https://kazan.hh.ru/vacancy/47003163?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
30,Инженер-химик,https://kazan.hh.ru/vacancy/46882343?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
31,Химик,https://kazan.hh.ru/vacancy/44791179?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,,руб.
32,Химик,https://kazan.hh.ru/vacancy/46902571?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
33,Инженер-химик,https://kazan.hh.ru/vacancy/46940571?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,,,
34,Заведующий лабораторией/Ведущий химик (в Ленинградской области),https://kazan.hh.ru/vacancy/46373484?from=vacancy_search_list&query=%D0%A5%D0%B8%D0%BC%D0%B8%D0%BA,80000.0,120000.0,руб.
